time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,orient.x,orient.y,orient.z,orient.w,command_state_flag
1681856267.3662872,154,128,164,128,,,,,,,,0
1681856267.3703678,153,128,164,128,,,,,,,,0
1681856267.3742561,153,128,164,128,,,,,,,,0
1681856267.378988,152,128,164,128,,,,,,,,0
1681856267.3840606,152,128,164,128,,,,,,,,0
1681856267.3935442,152,128,164,128,,,,,,,,0
1681856267.3936245,151,128,164,128,,,,,,,,0
1681856267.3959477,151,128,164,128,,,,,,,,0
1681856267.4010682,150,128,164,128,,,,,,,,0
1681856267.40505,150,128,164,128,,,,,,,,0
1681856267.4083982,,,,,,,,,,,,2
1681856267.4092376,150,128,164,128,,,,,,,,0
1681856267.4131005,150,128,164,128,,,,,,,,0
1681856267.4175355,150,128,164,128,,,,,,,,0
1681856267.4222817,150,128,164,128,,,,,,,,0
1681856267.426671,150,128,164,128,,,,,,,,0
1681856267.4304106,150,128,164,128,,,,,,,,0
1681856267.4345844,150,128,164,128,,,,,,,,0
1681856267.439473,149,128,164,128,,,,,,,,0
1681856267.4430928,149,128,164,128,,,,,,,,0
1681856267.447302,149,128,164,128,,,,,,,,0
1681856267.4514532,148,128,164,128,,,,,,,,0
1681856267.4565978,148,128,164,128,,,,,,,,0
1681856267.4602125,147,128,164,128,,,,,,,,0
1681856267.4647026,146,128,164,128,,,,,,,,0
1681856267.4684887,146,128,164,128,,,,,,,,0
1681856267.4730349,145,128,164,128,,,,,,,,0
1681856267.4771826,144,128,164,128,,,,,,,,0
1681856267.4811368,144,128,164,128,,,,,,,,0
1681856267.4853327,144,128,164,128,,,,,,,,0
1681856267.4897242,144,128,164,128,,,,,,,,0
1681856267.4939306,144,128,164,128,,,,,,,,0
1681856267.498299,144,128,164,128,,,,,,,,0
1681856267.5026872,144,128,164,128,,,,,,,,0
1681856267.5068953,144,128,164,128,,,,,,,,0
1681856267.5108202,144,128,164,128,,,,,,,,0
1681856267.5151265,144,128,164,128,,,,,,,,0
1681856267.519249,143,128,164,128,,,,,,,,0
1681856267.523757,144,128,164,128,,,,,,,,0
1681856267.5279772,144,128,164,128,,,,,,,,0
1681856267.533658,144,128,164,128,,,,,,,,0
1681856267.5413845,143,128,164,128,,,,,,,,0
1681856267.5414193,144,128,164,128,,,,,,,,0
1681856267.5448892,144,128,164,128,,,,,,,,0
1681856267.5494843,143,128,164,128,,,,,,,,0
1681856267.5545087,144,128,164,128,,,,,,,,0
1681856267.5579116,144,128,164,128,,,,,,,,0
1681856267.559509,,,,,,,,,,,,2
1681856267.5624044,144,128,164,128,,,,,,,,0
1681856267.5669332,144,128,164,128,,,,,,,,0
1681856267.5713854,146,128,164,128,,,,,,,,0
1681856267.5753467,146,128,164,128,,,,,,,,0
1681856267.580271,148,128,164,128,,,,,,,,0
1681856267.5838432,150,128,164,128,,,,,,,,0
1681856267.5884976,151,128,164,128,,,,,,,,0
1681856267.5925894,154,128,164,128,,,,,,,,0
1681856267.5964477,156,128,164,128,,,,,,,,0
1681856267.6007144,158,128,164,128,,,,,,,,0
1681856267.6055026,158,128,164,128,,,,,,,,0
1681856267.6094148,161,128,164,128,,,,,,,,0
1681856267.6134403,163,128,164,128,,,,,,,,0
1681856267.617557,164,128,164,128,,,,,,,,0
1681856267.621795,166,128,164,128,,,,,,,,0
1681856267.6267607,166,128,164,128,,,,,,,,0
1681856267.6303024,167,128,164,128,,,,,,,,0
1681856267.6345913,168,128,164,128,,,,,,,,0
1681856267.6389854,168,128,164,128,,,,,,,,0
1681856267.6427526,169,128,163,128,,,,,,,,0
1681856267.6473641,169,128,163,128,,,,,,,,0
1681856267.6513958,169,128,163,128,,,,,,,,0
1681856267.651812,,,,,,,,,,,,2
1681856267.6568902,169,128,163,128,,,,,,,,0
1681856267.6597102,169,128,163,128,,,,,,,,0
1681856267.6639926,169,128,163,128,,,,,,,,0
1681856267.6688097,169,128,163,128,,,,,,,,0
1681856267.6728354,168,128,163,128,,,,,,,,0
1681856267.6767209,168,128,163,128,,,,,,,,0
1681856267.680837,168,128,163,128,,,,,,,,0
1681856267.6850803,167,128,163,128,,,,,,,,0
1681856267.6893992,166,128,163,128,,,,,,,,0
1681856267.6934698,165,128,163,128,,,,,,,,0
1681856267.697599,163,128,163,128,,,,,,,,0
1681856267.7019095,162,128,163,128,,,,,,,,0
1681856267.7061858,160,128,163,128,,,,,,,,0
1681856267.710585,159,128,163,128,,,,,,,,0
1681856267.7145557,157,128,163,128,,,,,,,,0
1681856267.718841,156,128,163,128,,,,,,,,0
1681856267.723012,155,128,163,128,,,,,,,,0
1681856267.7269642,155,128,163,128,,,,,,,,0
1681856267.7315407,154,128,163,128,,,,,,,,0
1681856267.733885,,,,,0.6127734694281467,0.08485683988062334,3.0712842794143604,0.9810442058046015,0.030399357456072206,0.027646322025263417,-0.18937747015406084,1
1681856267.735604,154,128,163,128,,,,,,,,0
1681856267.7398772,153,128,163,128,,,,,,,,0
1681856267.7441003,153,128,163,128,,,,,,,,0
1681856267.7487571,153,128,163,128,,,,,,,,0
1681856267.7529967,152,128,163,128,,,,,,,,0
1681856267.757506,152,128,163,128,,,,,,,,0
1681856267.761463,152,128,163,128,,,,,,,,0
1681856267.7656488,152,128,163,128,,,,,,,,0
1681856267.7699175,152,128,163,128,,,,,,,,0
1681856267.774368,152,128,163,128,,,,,,,,0
1681856267.778382,152,128,163,128,,,,,,,,0
1681856267.7824783,152,128,163,128,,,,,,,,0
1681856267.7869074,152,128,163,128,,,,,,,,0
1681856267.7911081,152,128,163,128,,,,,,,,0
1681856267.7952185,152,128,163,128,,,,,,,,0
1681856267.79997,152,128,163,128,,,,,,,,0
1681856267.8039815,152,128,163,128,,,,,,,,0
1681856267.808384,152,128,163,128,,,,,,,,0
1681856267.8126345,152,128,163,128,,,,,,,,0
1681856267.816669,152,128,163,128,,,,,,,,0
1681856267.821358,150,128,163,128,,,,,,,,0
1681856267.8253982,148,128,163,128,,,,,,,,0
1681856267.829564,147,128,163,128,,,,,,,,0
1681856267.833563,146,128,163,128,,,,,,,,0
1681856267.8390627,144,128,163,128,,,,,,,,0
1681856267.842268,143,128,163,128,,,,,,,,0
1681856267.8470874,142,128,163,128,,,,,,,,0
1681856267.8506894,141,128,163,128,,,,,,,,0
1681856267.8593616,139,128,163,128,,,,,,,,0
1681856267.8593862,138,128,163,128,,,,,,,,0
1681856267.863631,137,128,163,128,,,,,,,,0
1681856267.8673327,136,128,163,128,,,,,,,,0
1681856267.8701763,,,,,0.627612503431892,0.06285595404835947,3.0049609130649464,0.972191990611861,0.03813958178391284,-0.08573155697143685,0.21456515521106556,1
1681856267.8717275,135,128,163,128,,,,,,,,0
1681856267.877349,134,128,163,128,,,,,,,,0
1681856267.8809497,131,128,163,128,,,,,,,,0
1681856267.8848994,130,128,163,128,,,,,,,,0
1681856267.8888817,130,128,163,128,,,,,,,,0
1681856267.8929956,128,128,163,128,,,,,,,,0
1681856267.8975072,123,128,163,128,,,,,,,,0
1681856267.9016607,119,128,163,128,,,,,,,,0
1681856267.906005,116,128,163,128,,,,,,,,0
1681856267.9099183,114,128,163,128,,,,,,,,0
1681856267.914179,111,128,163,128,,,,,,,,0
1681856267.918897,109,128,163,128,,,,,,,,0
1681856267.9226754,105,128,163,128,,,,,,,,0
1681856267.9269137,101,128,163,128,,,,,,,,0
1681856267.9309542,98,128,163,128,,,,,,,,0
1681856267.9354253,95,128,163,128,,,,,,,,0
1681856267.939725,91,128,163,128,,,,,,,,0
1681856267.9437428,88,128,163,128,,,,,,,,0
1681856267.9479492,85,128,163,128,,,,,,,,0
1681856267.952112,83,128,163,128,,,,,,,,0
1681856267.9575865,79,128,163,128,,,,,,,,0
1681856267.960619,77,128,163,128,,,,,,,,0
1681856267.965019,77,128,163,128,,,,,,,,0
1681856267.9692733,76,128,163,128,,,,,,,,0
1681856267.973426,76,128,163,128,,,,,,,,0
1681856267.977672,74,128,163,128,,,,,,,,0
1681856267.982043,74,128,163,128,,,,,,,,0
1681856267.9861753,73,128,163,128,,,,,,,,0
1681856267.9930642,74,128,163,128,,,,,,,,0
1681856267.9941378,73,128,163,128,,,,,,,,0
1681856267.9989834,72,128,163,128,,,,,,,,0
1681856268.0024881,72,128,163,128,,,,,,,,0
1681856268.006765,,,,,,,,,,,,2
1681856268.0068479,72,128,163,128,,,,,,,,0
1681856268.011571,72,128,163,128,,,,,,,,0
1681856268.0156796,71,128,163,128,,,,,,,,0
1681856268.0197358,71,128,163,128,,,,,,,,0
1681856268.0243475,71,128,163,128,,,,,,,,0
1681856268.0282938,70,128,163,128,,,,,,,,0
1681856268.0326524,70,128,163,128,,,,,,,,0
1681856268.0367463,69,128,163,128,,,,,,,,0
1681856268.0413618,69,128,163,128,,,,,,,,0
1681856268.0458698,68,128,163,128,,,,,,,,0
1681856268.0498917,68,128,163,128,,,,,,,,0
1681856268.0541177,68,128,163,128,,,,,,,,0
1681856268.058491,67,128,163,128,,,,,,,,0
1681856268.0624313,67,128,163,128,,,,,,,,0
1681856268.0666852,67,128,163,128,,,,,,,,0
1681856268.071182,67,128,163,128,,,,,,,,0
1681856268.0752459,67,128,163,128,,,,,,,,0
1681856268.0795407,66,128,163,128,,,,,,,,0
1681856268.0844233,66,128,163,128,,,,,,,,0
1681856268.0883522,66,128,163,128,,,,,,,,0
1681856268.0927062,66,128,163,128,,,,,,,,0
1681856268.0965226,66,128,163,128,,,,,,,,0
1681856268.1008134,66,128,163,128,,,,,,,,0
1681856268.1052513,66,128,163,128,,,,,,,,0
1681856268.1094303,66,128,163,128,,,,,,,,0
1681856268.1135852,66,128,164,128,,,,,,,,0
1681856268.1181262,66,128,164,128,,,,,,,,0
1681856268.1229918,66,128,164,128,,,,,,,,0
1681856268.126864,66,128,164,128,,,,,,,,0
1681856268.130873,66,128,164,128,,,,,,,,0
1681856268.1334727,,,,,0.6963401267219037,-0.13995952221700295,3.2834734988558503,0.9822628382337163,-0.024658498774231354,0.03234852434378334,-0.1830443881576958,1
1681856268.1349826,66,128,164,128,,,,,,,,0
1681856268.1395094,66,128,164,128,,,,,,,,0
1681856268.1438262,66,128,164,128,,,,,,,,0
1681856268.1479685,66,128,164,128,,,,,,,,0
1681856268.1523592,67,128,164,128,,,,,,,,0
1681856268.1570733,68,128,164,128,,,,,,,,0
1681856268.1609576,68,128,164,128,,,,,,,,0
1681856268.1656165,70,128,164,128,,,,,,,,0
1681856268.1694918,74,128,164,128,,,,,,,,0
1681856268.174097,77,128,164,128,,,,,,,,0
1681856268.1784308,80,128,164,128,,,,,,,,0
1681856268.182275,83,128,164,128,,,,,,,,0
1681856268.1865082,86,128,164,128,,,,,,,,0
1681856268.1910665,89,128,164,128,,,,,,,,0
1681856268.195014,91,128,164,128,,,,,,,,0
1681856268.1992176,93,128,164,128,,,,,,,,0
1681856268.2033439,96,128,164,128,,,,,,,,0
1681856268.2081335,98,128,164,128,,,,,,,,0
1681856268.211851,99,128,164,128,,,,,,,,0
1681856268.2159576,100,128,164,128,,,,,,,,0
1681856268.220063,102,128,164,128,,,,,,,,0
1681856268.2248542,102,128,164,128,,,,,,,,0
1681856268.2288916,102,128,164,128,,,,,,,,0
1681856268.2334058,102,128,164,128,,,,,,,,0
1681856268.236519,103,128,164,128,,,,,,,,0
1681856268.2415805,103,128,164,128,,,,,,,,0
1681856268.245357,103,128,164,128,,,,,,,,0
1681856268.249744,105,128,164,128,,,,,,,,0
1681856268.2541676,106,128,164,128,,,,,,,,0
1681856268.2584217,107,128,164,128,,,,,,,,0
1681856268.2605183,,,,,0.7148497175814161,-0.1976122347449657,3.265322994258388,0.9750944209229584,-0.03401960626116113,0.05204651183885533,-0.21289597760447224,1
1681856268.2623265,109,128,164,128,,,,,,,,0
1681856268.2664115,112,128,164,128,,,,,,,,0
1681856268.2706456,114,128,164,128,,,,,,,,0
1681856268.2751935,117,128,164,128,,,,,,,,0
1681856268.2792058,121,128,164,128,,,,,,,,0
1681856268.2833745,125,128,164,128,,,,,,,,0
1681856268.2886376,128,128,164,128,,,,,,,,0
1681856268.2922401,131,128,164,128,,,,,,,,0
1681856268.2964709,135,128,164,128,,,,,,,,0
1681856268.3004827,138,128,164,128,,,,,,,,0
1681856268.3048656,140,128,164,128,,,,,,,,0
1681856268.3094254,146,128,164,128,,,,,,,,0
1681856268.31353,149,128,164,128,,,,,,,,0
1681856268.3176134,151,128,164,128,,,,,,,,0
1681856268.3221607,153,128,164,128,,,,,,,,0
1681856268.3263943,154,128,164,128,,,,,,,,0
1681856268.330369,155,128,164,128,,,,,,,,0
1681856268.3346705,156,128,164,128,,,,,,,,0
1681856268.3392878,157,128,164,128,,,,,,,,0
1681856268.3436062,157,128,164,128,,,,,,,,0
1681856268.3474257,157,128,164,128,,,,,,,,0
1681856268.3520463,158,128,164,128,,,,,,,,0
1681856268.3565583,158,128,164,128,,,,,,,,0
1681856268.3605473,158,128,164,128,,,,,,,,0
1681856268.3645854,158,128,164,128,,,,,,,,0
1681856268.3688662,158,128,164,128,,,,,,,,0
1681856268.373707,159,128,164,128,,,,,,,,0
1681856268.374146,,,,,0.7082850277218956,-0.20339868362242844,3.285280198980653,0.978631522792229,-0.0327692698069405,0.05348124927113858,-0.19582204556709487,1
1681856268.3777318,159,128,164,128,,,,,,,,0
1681856268.3824809,160,128,164,128,,,,,,,,0
1681856268.3862576,160,128,164,128,,,,,,,,0
1681856268.3909283,161,128,164,128,,,,,,,,0
1681856268.3949304,161,128,164,128,,,,,,,,0
1681856268.3991473,162,128,164,128,,,,,,,,0
1681856268.4033241,163,128,164,128,,,,,,,,0
1681856268.4076843,165,128,164,128,,,,,,,,0
1681856268.4117668,166,128,164,128,,,,,,,,0
1681856268.4159806,167,128,164,128,,,,,,,,0
1681856268.420631,168,128,164,128,,,,,,,,0
1681856268.4247282,170,128,164,128,,,,,,,,0
1681856268.4287937,171,128,164,128,,,,,,,,0
1681856268.4327953,171,128,164,128,,,,,,,,0
1681856268.4369373,172,128,164,128,,,,,,,,0
1681856268.4414353,172,128,164,128,,,,,,,,0
1681856268.4454474,172,128,164,128,,,,,,,,0
1681856268.4497957,173,128,164,128,,,,,,,,0
1681856268.4537468,173,128,164,128,,,,,,,,0
1681856268.4586275,173,128,164,128,,,,,,,,0
1681856268.4626532,173,128,164,128,,,,,,,,0
1681856268.4667795,173,128,164,128,,,,,,,,0
1681856268.4710057,173,128,164,128,,,,,,,,0
1681856268.4749897,174,127,164,128,,,,,,,,0
1681856268.4795938,174,127,164,128,,,,,,,,0
1681856268.4837625,175,127,164,128,,,,,,,,0
1681856268.4877124,175,127,164,128,,,,,,,,0
1681856268.4917252,176,127,164,128,,,,,,,,0
1681856268.4963136,177,127,164,128,,,,,,,,0
1681856268.5001276,179,127,164,128,,,,,,,,0
1681856268.5056167,185,127,164,128,,,,,,,,0
1681856268.508593,,,,,,,,,,,,2
1681856268.5095022,189,127,164,128,,,,,,,,0
1681856268.5133626,194,127,164,128,,,,,,,,0
1681856268.517594,198,127,164,128,,,,,,,,0
1681856268.5220447,202,127,164,128,,,,,,,,0
1681856268.5260315,204,127,164,128,,,,,,,,0
