time,commands[0],commands[1],commands[2],commands[3],position.x,position.y,position.z,R11,R21,R31,R12,R22,R32,vel.x,vel.y,vel.z,ang_vel_x,ang_vel_y,ang_vel_z,command_state_flag,roll,pitch,yaw
1681856258.1460836,164,127,157,128,-0.2662349582525897,0.1684695025154483,3.5537070183436645,0.999886539186985,0.0147697862474723,0.0029600957548892,0.0148669601457376,-0.9359607504742968,-0.3517903453303059,-0.000121410067347,-0.0001453556513839,0.0009851083141442,0.0027773422099117,0.0011534151027957,-0.0005907216604733,0,-2.782107988126964,-0.002960100077715,0.0147703880117513
1681856258.1676147,164,127,157,128,-0.2662372458943908,0.1684626135266339,3.5537261022728317,0.9998864908769456,0.0147708851476618,0.0029709112646093,0.0148717378912829,-0.935952561231838,-0.3518119306329104,-9.366693179459415e-05,-0.0004358227918832,0.0007857853324373,0.0030281713849548,0.0009629301525113,-0.0007038653610297,0,-2.782084916578156,-0.0029709156349924,0.0147714875104569
1681856258.188097,164,127,156,128,-0.2662386162452443,0.1684500051193786,3.553736939657095,0.9998864448138144,0.0147719302860146,0.002981199962414,0.0148762831086413,-0.93594477042567,-0.3518324642691623,-5.179030021743164e-05,-0.0007074172466166,0.0003779565485188,0.002966422628239,0.0007624699886488,-0.0007512877975448,0,-2.7820629688796994,-0.0029812043783605,0.014772533219832
1681856258.1962717,164,127,156,128,-0.2662388545288103,0.1684432453261984,3.553738083551212,0.9998864264006888,0.014772347345977,0.0029853062740288,0.0148780971975847,-0.9359416609217148,-0.3518406593543179,-2.1322884440467065e-05,-0.0008659830326191,5.621678520794391e-05,0.0027098091885092,0.000620912473699,-0.0007400080302902,1,-2.7820542093726046,-0.002985310708248,0.0147729505081463
1681856258.2193444,164,127,155,128,-0.266238351586528,0.1684193136296071,3.553729821092083,0.9998862808120178,0.0147795062464772,0.0029986061796957,0.0148894080882656,-0.9359312411233196,-0.3518678976777271,5.4282949607476406e-05,-0.0011403775807399,-0.0006314942002354,0.0016286559484112,0.0003494894989802,-0.000594573113376,0,-2.782025095196451,-0.0029986106734445,0.0147801108103688
1681856258.2407851,163,127,153,128,-0.2662361722214059,0.1683931255481012,3.553709987342416,0.9998861453211708,0.0147861584346465,0.0030109655453746,0.0148999191856985,-0.9359215575470428,-0.351893208981044,0.0001340859222697,-0.0012566020269747,-0.0010953332207135,0.0001648891204868,0.0001423940613757,-0.0003493546648448,0,-2.781998040402944,-0.0030109700949187,0.0147867643046175
1681856258.2620647,162,127,153,128,-0.2662322044986617,0.168366457483465,3.5536827690300994,0.9998860106583852,0.0147927602843236,0.0030232321827155,0.0149103515055619,-0.9359119460110336,-0.3519183296331993,0.0002228119948156,-0.0012314784583013,-0.0013772519386821,-0.0018384534015743,-5.047279264466464e-05,1.353749851375181e-05,0,-2.7819711890617462,-0.0030232367880909,0.0147933674538963
1681856258.283408,161,127,153,128,-0.2662262492972413,0.1683420380520021,3.553651871484562,0.9998858754021924,0.014799381549448,0.0030355356932904,0.0149208152686079,-0.935902304970058,-0.3519435250483421,0.0003185741914183,-0.0010653327290892,-0.0014709389128997,-0.003693274733653,-0.0001866609786244,0.0003625664817063,0,-2.781944257475228,-0.0030355403551221,0.0147999900258563
1681856258.3049922,161,127,153,128,-0.2662180415060892,0.1683227826375992,3.5536209836716672,0.9998857384243826,0.0148060772521128,0.0030479783352854,0.0149313974441296,-0.9358925542813372,-0.3519690046170547,0.0004229227882976,-0.0007563794637042,-0.0013792806064915,-0.0051768694346005,-0.0003021565621906,0.0006458268510969,0,-2.7819170218169105,-0.003047983054679,0.0148066870535267
1681856258.31619,160,127,153,128,-0.2662128597331789,0.1683159729116638,3.553606444964457,0.9998856672841284,0.0148095508121825,0.0030544335832679,0.0149368875151514,-0.9358874953725492,-0.3519822231259083,0.0004837412402131,-0.0005259174960165,-0.0012495299865195,-0.0053937195569728,-0.0003326713771857,0.000689856194438,1,-2.781902892135045,-0.0030544383327104,0.0148101613023549
